,STAAR Score in Math (2019-2021),STAAR Score in Reading (2019-2021),STAAR Score in Math (2021-2022),STAAR Score in Reading (2021-2022),STAAR Score in Math (2019-2022),STAAR Score in Reading (2019-2022),County #,County Name,Labor Force (2019-2021),Employed Persons Difference (2021-2019),Umemployed Persons Difference (2021-2019),Unemployment Rate Difference (2021-2019),FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021,FTE Teachers 2021-2022,Total Staff 2021-2022,Total Students 2021-2022,Number of Teachers (2019-2021),Number of Overall Staff (2019-2021),Number of Students (2019-2021),Number of Teachers (2021-2022),Number of Overall Staff (2021-2022),Number of Students (2021-2022),Number of Teachers (2019-2022),Number of Overall Staff (2019-2022),Number of Students (2019-2022)
28,-2,0,1,-1,-1,-1,48057,Calhoun,2,0.0,0.56,0.53,263.89,543.76,3846.0,261.06,548.03,3681.0,273.14,561.21,3576.0,-1,1,-4,5,2,-3,4,3,-7
29,-1,1,2,0,0,1,48059,Callahan,2,0.01,0.54,0.48,55.46,104.68,629.75,54.12,105.84,623.75,55.82,108.0,642.75,-2,1,-1,3,2,3,1,3,2
30,-7,-2,5,1,-2,-1,48061,Cameron,6,0.03,0.57,0.49,682.89,1573.64,10400.33,657.23,1498.09,9704.44,640.46,1483.89,9214.89,-4,-5,-7,-3,-1,-5,-6,-6,-11
31,-3,-2,2,1,-2,-1,48063,Camp,4,0.02,0.48,0.4,198.04,401.51,2356.0,193.03,418.23,2347.0,206.33,435.59,2358.0,-3,4,0,7,4,0,4,8,0
32,-6,-4,7,6,-1,1,48065,Carson,0,-0.01,0.5,0.5,36.49,68.82,405.67,35.98,68.52,393.0,37.09,69.4,382.0,-1,0,-3,3,1,-3,2,1,-6
33,-1,1,2,0,1,1,48067,Cass,1,-0.01,0.57,0.56,64.55,133.54,789.29,66.68,140.74,762.86,69.99,143.05,772.57,3,5,-3,5,2,1,8,7,-2
34,-1,1,2,0,1,1,48069,Castro,0,-0.01,0.26,0.25,51.06,117.9,565.67,47.81,114.02,548.0,46.35,108.73,539.67,-6,-3,-3,-3,-5,-2,-9,-8,-5
35,-3,0,0,-1,-2,-1,48071,Chambers,5,0.01,0.93,0.84,199.29,398.78,2856.0,230.34,459.15,3086.33,237.88,483.97,3252.33,16,15,8,3,5,5,19,21,14
36,-2,0,2,0,0,0,48073,Cherokee,1,-0.02,0.7,0.68,139.0,284.14,1835.67,139.4,295.91,1785.5,140.77,300.55,1814.5,0,4,-3,1,2,2,1,6,-1
37,-3,-1,2,1,0,0,48075,Childress,3,0.02,0.37,0.33,91.02,178.57,1096.0,90.36,179.87,997.0,88.53,177.51,1014.0,-1,1,-9,-2,-1,2,-3,-1,-7
38,-2,0,6,-2,4,-1,48077,Clay,0,-0.02,0.6,0.58,38.85,75.97,411.75,39.2,77.26,407.75,39.72,83.25,422.5,1,2,-1,1,8,4,2,10,3
39,-3,1,2,1,-1,1,48079,Cochran,-4,-0.07,0.79,0.85,35.21,71.02,353.5,35.19,68.24,356.5,35.76,67.18,337.0,0,-4,1,2,-2,-5,2,-5,-5
40,-4,-1,2,0,-2,0,48081,Coke,-5,-0.06,0.38,0.45,27.07,47.1,264.0,26.4,47.8,249.0,26.3,48.22,250.5,-2,1,-6,0,1,1,-3,2,-5
41,-2,1,1,1,-2,1,48083,Coleman,4,0.02,0.53,0.46,40.76,85.21,427.67,37.94,79.45,421.0,37.78,79.96,406.67,-7,-7,-2,0,1,-3,-7,-6,-5
42,0,2,2,0,2,3,48085,Collin,6,0.05,0.48,0.39,901.63,1586.6,13268.87,954.95,1690.56,13735.93,964.4,1724.8,14233.73,6,7,4,1,2,4,7,9,7
43,-2,0,3,1,1,1,48087,Collingsworth,-4,-0.05,0.34,0.39,55.66,100.93,586.0,54.26,101.35,542.0,53.05,102.33,543.0,-3,0,-8,-2,1,0,-5,1,-7
44,-2,0,1,0,-1,1,48089,Colorado,2,0.0,0.56,0.55,94.94,181.66,1203.0,96.32,183.46,1165.0,93.5,181.78,1181.0,1,1,-3,-3,-1,1,-2,0,-2
45,-3,0,2,0,-1,0,48091,Comal,5,0.04,0.6,0.5,1020.09,1989.24,16531.0,1098.06,2118.66,17370.5,1152.92,2222.66,18482.0,8,7,5,5,5,6,13,12,12
46,-2,0,2,0,0,0,48093,Comanche,9,0.08,0.54,0.44,49.6,101.2,585.5,49.03,103.55,587.25,51.22,107.79,582.75,-1,2,0,4,4,-1,3,7,0
47,-2,1,4,1,1,3,48095,Concho,9,0.08,0.46,0.35,20.83,39.46,230.5,21.18,41.26,234.5,22.9,43.94,224.0,2,5,2,8,7,-4,10,11,-3
48,-9,-4,12,9,-3,-1,48097,Cooke,-1,-0.03,0.76,0.79,60.48,113.36,859.43,60.84,109.75,825.71,60.51,109.06,846.71,1,-3,-4,-1,-1,3,0,-4,-1
49,-2,2,-2,0,-4,1,48099,Coryell,3,0.01,0.46,0.43,195.67,419.05,2854.5,202.62,441.07,2825.0,204.34,447.42,2805.0,4,5,-1,1,1,-1,4,7,-2
50,-4,-1,1,-2,-4,-2,48101,Cottle,11,0.11,0.22,0.1,22.4,40.01,204.0,20.49,37.31,183.0,19.85,34.66,161.0,-9,-7,-10,-3,-7,-12,-11,-13,-21
51,-1,0,2,1,0,0,48103,Crane,5,-0.01,1.52,1.4,81.78,148.9,1151.0,87.05,172.18,1099.0,82.54,170.94,1151.0,6,16,-5,-5,-1,5,1,15,0
52,2,2,2,1,4,4,48105,Crockett,-9,-0.13,1.11,1.31,62.16,129.2,777.0,66.36,134.78,764.0,66.68,136.44,729.0,7,4,-2,0,1,-5,7,6,-6
53,-3,0,1,-1,-2,0,48107,Crosby,-2,-0.04,0.39,0.4,40.4,79.38,385.67,36.07,75.82,335.67,35.43,74.93,350.67,-11,-4,-13,-2,-1,4,-12,-6,-9
54,-22,0,6,2,-17,1,48109,Culberson,4,0.03,0.21,0.17,32.14,59.34,378.0,33.6,73.73,387.0,34.48,73.95,360.0,5,24,2,3,0,-7,7,25,-5
55,0,2,0,-1,0,1,48111,Dallam,-2,-0.03,0.3,0.3,72.4,120.38,958.5,76.66,126.99,915.5,75.07,125.0,976.0,6,5,-4,-2,-2,7,4,4,2
56,-5,-1,2,0,-2,-1,48113,Dallas,3,0.01,0.64,0.6,830.01,1619.44,12787.05,843.66,1671.82,12401.79,840.91,1673.32,12304.49,2,3,-3,0,0,-1,1,3,-4
57,3,6,0,-1,3,5,48115,Dawson,1,-0.03,0.81,0.79,55.11,129.5,800.0,53.75,128.71,752.0,57.01,131.67,706.33,-2,-1,-6,6,2,-6,3,2,-12
