,STAAR Score in Math (2019-2021),STAAR Score in Reading (2019-2021),STAAR Score in Math (2021-2022),STAAR Score in Reading (2021-2022),STAAR Score in Math (2019-2022),STAAR Score in Reading (2019-2022),County #,County Name,Labor Force (2019-2021),Employed Persons Difference (2021-2019),Umemployed Persons Difference (2021-2019),Unemployment Rate Difference (2021-2019),FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021,FTE Teachers 2021-2022,Total Staff 2021-2022,Total Students 2021-2022,Number of Teachers (2019-2021),Number of Overall Staff (2019-2021),Number of Students (2019-2021),Number of Teachers (2021-2022),Number of Overall Staff (2021-2022),Number of Students (2021-2022),Number of Teachers (2019-2022),Number of Overall Staff (2019-2022),Number of Students (2019-2022)
117,-1,2,3,-2,2,1,48235,Irion,3,0.0,1.11,1.04,28.42,52.99,266.0,31.0,59.0,323.0,32.0,67.42,334.0,9,11,21,3,14,3,13,27,26
118,-1,1,1,0,0,1,48237,Jack,-1,-0.03,0.72,0.72,43.13,78.34,548.0,45.64,85.85,546.0,45.45,83.48,550.67,6,10,0,0,-3,1,5,7,0
119,-1,0,3,1,2,1,48239,Jackson,-4,-0.06,0.6,0.67,87.54,166.43,1167.67,91.15,176.43,1130.33,91.97,176.45,1151.67,4,6,-3,1,0,2,5,6,-1
120,-3,-1,2,0,-1,-1,48241,Jasper,1,-0.03,0.61,0.59,113.3,237.76,1473.5,111.03,237.58,1379.0,106.66,235.92,1378.0,-2,0,-6,-4,-1,0,-6,-1,-6
121,-2,1,2,0,1,1,48243,Jeff Davis,-1,-0.02,0.47,0.48,24.71,42.51,228.0,21.95,39.66,197.0,18.96,34.97,178.0,-11,-7,-14,-14,-12,-10,-23,-18,-22
122,-3,0,3,1,0,1,48245,Jefferson,-3,-0.07,0.67,0.72,307.08,598.44,4642.44,316.09,621.96,4522.44,305.84,615.17,4503.67,3,4,-3,-3,-1,0,0,3,-3
123,-4,1,5,1,1,2,48247,Jim Hogg,0,-0.04,0.84,0.83,85.99,187.97,1156.0,80.66,165.99,1142.0,87.45,177.9,1078.0,-6,-12,-1,8,7,-6,2,-5,-7
124,-5,0,3,1,-2,1,48249,Jim Wells,-6,-0.12,1.03,1.17,102.38,229.1,1603.0,104.64,230.69,1543.8,104.11,232.87,1492.6,2,1,-4,-1,1,-3,2,2,-7
125,-2,1,1,0,0,0,48251,Johnson,4,0.02,0.57,0.53,271.07,527.62,3982.0,283.83,559.27,4032.78,292.59,575.09,4158.44,5,6,1,3,3,3,8,9,4
126,2,5,-2,-4,0,1,48253,Jones,0,-0.02,0.45,0.44,49.9,93.87,536.4,51.12,98.03,526.6,52.44,102.03,531.6,2,4,-2,3,4,1,5,9,-1
127,-4,-1,2,0,-3,-1,48255,Karnes,-3,-0.06,1.0,1.08,52.64,114.64,619.75,49.99,111.3,669.25,50.92,113.75,608.5,-5,-3,8,2,2,-9,-3,-1,-2
128,-3,-1,1,0,-2,-1,48257,Kaufman,8,0.06,0.64,0.53,277.78,534.91,4370.29,307.26,596.39,4665.29,322.35,631.83,5044.57,11,11,7,5,6,8,16,18,15
129,6,9,-5,-8,0,-1,48259,Kendall,2,0.01,0.43,0.41,224.07,423.35,3465.0,243.46,458.09,3587.67,250.69,462.29,3824.33,9,8,4,3,1,7,12,9,10
130,-3,2,2,-2,-1,1,48261,Kenedy,-20,-0.22,0.38,0.71,10.99,24.84,64.0,10.99,25.78,89.0,10.9,25.48,101.0,0,4,39,-1,-1,13,-1,3,57
131,-3,1,4,0,0,1,48263,Kent,-4,-0.05,0.18,0.21,19.54,39.27,152.0,20.14,42.08,176.0,20.63,44.24,171.0,3,7,16,2,5,-3,6,13,12
132,-1,1,1,-1,0,0,48265,Kerr,0,-0.01,0.53,0.5,116.09,234.05,1724.5,115.08,240.64,1650.25,117.8,244.45,1682.75,-1,3,-4,2,2,2,1,4,-2
133,-2,-1,3,1,1,0,48267,Kimble,4,0.03,0.44,0.37,57.93,95.72,605.0,58.32,100.61,599.0,55.28,106.7,639.0,1,5,-1,-5,6,7,-5,11,6
134,-2,0,0,-1,-2,-1,48269,King,92,0.95,-0.2,-0.57,19.59,32.0,106.0,18.98,31.6,127.0,18.97,30.65,136.0,-3,-1,20,0,-3,7,-3,-4,28
135,-2,2,1,-1,-1,1,48271,Kinney,-8,-0.1,0.41,0.53,57.81,116.13,560.0,58.88,113.54,519.0,55.8,114.66,532.0,2,-2,-7,-5,1,3,-3,-1,-5
136,-4,0,3,0,-2,0,48273,Kleberg,-1,-0.04,0.64,0.65,85.93,177.76,1313.25,86.53,186.51,1182.25,85.3,183.27,1172.5,1,5,-10,-1,-2,-1,-1,3,-11
137,-1,1,2,0,0,1,48275,Knox,2,0.01,0.48,0.47,26.96,55.09,259.67,28.54,53.89,255.33,27.82,54.56,255.33,6,-2,-2,-3,1,0,3,-1,-2
138,-2,1,1,-1,-1,0,48277,Lamar,4,0.01,0.68,0.62,110.14,248.7,1347.0,111.89,262.14,1265.0,110.07,257.01,1172.0,2,5,-6,-2,-2,-7,0,3,-13
139,-2,1,1,0,-1,0,48279,Lamb,0,-0.01,0.31,0.32,174.3,335.22,2089.75,175.16,338.14,2079.0,173.92,336.89,2114.75,0,1,-1,-1,0,2,0,0,1
140,-3,1,1,0,-1,1,48281,Lampasas,3,0.02,0.49,0.45,49.59,95.73,582.8,49.84,96.19,556.6,49.89,96.7,544.8,1,0,-4,0,1,-2,1,1,-7
141,-3,0,3,0,0,0,48283,La Salle,-12,-0.14,0.55,0.79,126.46,281.23,1823.5,137.18,301.96,1866.0,140.2,311.86,1870.0,8,7,2,2,3,0,11,11,3
142,0,2,8,2,7,4,48285,Lavaca,1,-0.0,0.53,0.5,48.21,103.2,579.0,49.45,105.57,560.86,49.65,106.1,574.86,3,2,-3,0,1,2,3,3,-1
143,-1,2,1,0,0,2,48287,Lee,-9,-0.11,0.46,0.65,80.26,141.22,1016.67,80.41,140.57,1044.33,82.62,144.52,1071.0,0,0,3,3,3,3,3,2,5
144,-3,0,2,0,-1,0,48289,Leon,-1,-0.04,0.61,0.61,52.98,101.06,630.2,54.64,106.17,623.0,55.34,109.38,663.8,3,5,-1,1,3,7,4,8,5
145,-2,1,1,-1,-1,0,48291,Liberty,5,0.01,0.92,0.84,169.91,352.19,2589.14,193.88,410.53,2886.29,202.65,441.05,3209.43,14,17,11,5,7,11,19,25,24
146,-4,-1,3,1,-1,0,48293,Limestone,0,-0.02,0.61,0.59,99.75,212.9,1296.0,100.35,214.82,1225.0,100.74,220.49,1235.0,1,1,-5,0,3,1,1,4,-5
147,-3,0,0,-1,-3,-1,48295,Lipscomb,-7,-0.08,0.3,0.37,23.47,42.89,215.67,24.89,45.76,223.67,25.43,45.6,227.67,6,7,4,2,0,2,8,6,6
148,-1,1,2,0,0,2,48297,Live Oak,-10,-0.13,0.99,1.19,66.56,135.61,853.5,69.38,142.46,801.5,70.02,145.2,822.0,4,5,-6,1,2,3,5,7,-4
149,-2,-1,2,0,0,-1,48299,Llano,4,0.03,0.46,0.37,135.17,284.01,1780.0,138.95,286.42,1731.0,143.64,287.78,1881.0,3,1,-3,3,0,9,6,1,6
150,-2,0,2,0,-1,0,48303,Lubbock,3,0.01,0.63,0.61,402.62,718.41,5609.89,415.24,743.03,5548.11,410.31,741.72,5589.78,3,3,-1,-1,0,1,2,3,0
151,5,7,1,0,6,6,48305,Lynn,2,0.0,0.46,0.43,39.08,72.98,377.75,40.9,74.35,401.25,41.12,75.68,402.5,5,2,6,1,2,0,5,4,7
152,5,7,2,1,8,8,48307,McCulloch,-8,-0.09,0.15,0.25,45.23,91.54,466.67,41.12,85.17,429.33,38.46,81.69,428.33,-9,-7,-8,-6,-4,0,-15,-11,-8
153,-2,0,2,0,0,0,48309,McLennan,4,0.02,0.52,0.48,132.39,278.79,1837.1,136.03,284.24,1808.45,136.91,288.02,1792.05,3,2,-2,1,1,-1,3,3,-2
154,1,1,1,-2,2,-1,48311,McMullen,-9,-0.09,0.31,0.44,25.67,50.78,289.0,25.53,51.54,267.0,26.26,51.79,283.0,-1,1,-8,3,0,6,2,2,-2
155,-1,1,0,-1,-1,1,48313,Madison,5,0.02,0.56,0.48,99.91,181.8,1369.0,100.66,182.0,1297.0,101.13,186.73,1317.0,1,0,-5,0,3,2,1,3,-4
156,-2,-1,2,0,0,-1,48315,Marion,2,-0.01,0.66,0.64,102.23,215.27,1324.0,101.43,229.05,1227.0,107.99,235.09,1163.0,-1,6,-7,6,3,-5,6,9,-12
157,-1,2,2,0,1,1,48317,Martin,-6,-0.08,0.71,0.85,50.72,95.57,676.5,54.28,105.56,640.0,57.48,107.11,676.0,7,10,-5,6,1,6,13,12,0
158,0,2,2,0,2,2,48319,Mason,3,0.01,0.5,0.47,71.32,115.97,715.0,70.87,121.57,716.0,68.25,123.16,759.0,-1,5,0,-4,1,6,-4,6,6
159,-6,-3,2,1,-4,-2,48321,Matagorda,0,-0.03,0.47,0.46,99.55,212.9,1451.0,99.51,220.24,1393.8,98.44,218.84,1404.6,0,3,-4,-1,-1,1,-1,3,-3
160,-10,-5,7,3,-3,-2,48323,Maverick,2,-0.04,0.7,0.67,852.62,1936.81,14561.0,826.54,1865.69,14028.0,807.69,1807.49,13385.0,-3,-4,-4,-2,-3,-5,-5,-7,-8
161,-2,1,2,0,0,0,48325,Medina,1,-0.0,0.59,0.56,146.35,308.22,2163.2,156.44,326.75,2256.0,165.12,342.17,2392.6,7,6,4,6,5,6,13,11,11
162,0,2,1,0,1,2,48327,Menard,-2,-0.03,0.38,0.41,28.0,61.83,305.0,27.0,63.0,279.0,26.0,62.5,300.0,-4,2,-9,-4,-1,8,-7,1,-2
163,-1,1,2,0,1,1,48329,Midland,-6,-0.09,1.57,1.71,589.48,1022.55,9816.67,631.26,1137.81,9598.0,636.02,1152.81,9950.0,7,11,-2,1,1,4,8,13,1
164,-3,0,-2,0,-4,0,48331,Milam,6,0.05,0.23,0.16,61.55,125.39,768.0,60.26,125.55,727.33,58.79,124.57,717.0,-2,0,-5,-2,-1,-1,-4,-1,-7
165,-8,-4,2,-2,-5,-5,48333,Mills,2,0.01,0.36,0.33,37.17,78.16,333.33,36.04,74.37,282.67,34.1,74.31,284.0,-3,-5,-15,-5,0,0,-8,-5,-15
166,-3,-1,3,0,-1,0,48335,Mitchell,2,-0.02,0.94,0.92,36.01,78.13,459.0,35.36,77.32,423.67,34.82,82.72,429.67,-2,-1,-8,-2,7,1,-3,6,-6
167,-1,1,-1,-2,-1,-1,48337,Montague,1,-0.01,0.8,0.76,40.75,78.61,490.43,42.02,82.02,488.0,42.62,83.42,490.29,3,4,0,1,2,0,5,6,0
168,-3,0,2,0,-1,0,48339,Montgomery,3,0.0,0.76,0.71,1160.61,2321.8,18656.67,1228.43,2475.46,19155.17,1263.94,2543.94,20115.67,6,7,3,3,3,5,9,10,8
169,-2,0,2,0,-1,1,48341,Moore,3,0.02,0.49,0.43,187.87,374.44,2428.0,191.89,401.04,2380.5,192.34,385.9,2450.0,2,7,-2,0,-4,3,2,3,1
170,-3,0,4,1,1,1,48343,Morris,-3,-0.08,0.92,0.98,77.13,165.66,952.5,80.94,173.82,959.0,84.3,184.59,931.0,5,5,1,4,6,-3,9,11,-2
171,-2,0,1,1,0,1,48345,Motley,-3,-0.05,0.44,0.5,16.54,39.41,162.0,16.19,40.89,167.0,17.87,41.49,157.0,-2,4,3,10,1,-6,8,5,-3
172,-4,-1,2,0,-2,-1,48347,Nacogdoches,2,-0.0,0.49,0.49,80.24,165.1,1111.6,85.0,171.67,1064.0,84.09,174.04,1066.5,6,4,-4,-1,1,0,5,5,-4
173,-1,1,2,0,1,1,48349,Navarro,0,-0.02,0.56,0.55,105.8,215.1,1443.43,106.24,219.29,1456.14,106.74,222.94,1465.29,0,2,1,0,2,1,1,4,2
174,-4,0,1,-1,-3,-1,48351,Newton,-4,-0.08,0.59,0.65,54.7,113.02,632.0,55.07,113.78,590.67,56.0,116.87,575.33,1,1,-7,2,3,-3,2,3,-9
175,-4,4,2,-1,-2,4,48353,Nolan,2,0.0,0.65,0.66,58.77,139.81,799.5,63.05,149.87,787.5,62.36,145.57,1379.0,7,7,-2,-1,-3,75,6,4,72
176,-4,0,3,1,-1,0,48355,Nueces,-1,-0.04,0.67,0.68,261.83,538.52,4089.87,260.92,536.9,3877.93,254.85,530.71,3767.87,0,0,-5,-2,-1,-3,-3,-1,-8
177,1,2,1,0,2,2,48357,Ochiltree,-7,-0.09,0.59,0.7,185.79,373.37,2238.0,170.15,366.72,2133.0,157.83,373.17,2052.0,-8,-2,-5,-7,2,-4,-15,0,-8
178,-9,-7,11,9,1,1,48359,Oldham,2,0.01,0.23,0.21,32.12,51.82,245.5,33.01,54.94,226.0,33.49,55.98,222.75,3,6,-8,1,2,-1,4,8,-9
179,-2,1,1,0,0,1,48361,Orange,-3,-0.07,0.69,0.73,210.27,440.75,3017.6,212.23,444.67,2954.2,209.75,451.74,3003.0,1,1,-2,-1,2,2,0,2,0
180,-2,0,1,0,-1,0,48363,Palo Pinto,-4,-0.06,0.75,0.78,57.7,116.04,757.0,58.63,119.18,721.83,60.69,120.94,760.83,2,3,-5,4,1,5,5,4,1
181,0,2,0,-2,1,0,48365,Panola,-3,-0.06,0.61,0.63,73.22,123.98,1004.75,75.7,130.68,997.25,76.28,136.59,1014.0,3,5,-1,1,5,2,4,10,1
182,-2,0,1,0,-1,0,48367,Parker,5,0.04,0.61,0.52,187.2,348.66,2772.75,204.46,381.55,2914.38,217.09,403.92,3113.88,9,9,5,6,6,7,16,16,12
183,-2,1,-3,-4,-4,-3,48369,Parmer,3,0.03,0.34,0.32,54.68,109.75,589.0,55.71,110.45,569.0,56.68,115.42,572.5,2,1,-3,2,5,1,4,5,-3
184,-3,-1,2,1,-1,0,48371,Pecos,-2,-0.06,1.13,1.15,78.23,160.79,1041.33,76.36,158.36,962.67,72.17,155.75,937.0,-2,-2,-8,-5,-2,-3,-8,-3,-10
185,-2,1,2,0,-1,1,48373,Polk,4,0.01,0.74,0.67,91.19,188.86,1262.4,91.86,187.18,1246.2,87.07,188.92,1304.0,1,-1,-1,-5,1,5,-5,0,3
186,-2,0,1,0,-1,0,48375,Potter,1,-0.01,0.58,0.59,806.0,1523.38,11864.67,813.87,1543.48,11369.33,817.38,1610.75,11252.0,1,1,-4,0,4,-1,1,6,-5
187,-2,-1,2,1,0,0,48377,Presidio,1,-0.04,0.65,0.64,64.24,149.49,764.0,52.48,133.38,676.0,51.66,126.92,658.5,-18,-11,-12,-2,-5,-3,-20,-15,-14
188,-4,-2,1,1,-3,-1,48379,Rains,6,0.05,0.35,0.3,129.81,292.2,1722.0,132.11,290.41,1709.0,138.26,304.31,1729.0,2,-1,-1,5,5,1,7,4,0
189,-1,1,1,0,0,1,48381,Randall,3,0.02,0.51,0.46,626.2,1168.89,10166.0,639.55,1223.03,10324.0,663.16,1305.89,10711.0,2,5,2,4,7,4,6,12,5
190,-2,2,1,-1,-1,1,48383,Reagan,-12,-0.16,1.59,1.96,79.84,149.43,875.0,85.23,166.54,837.0,83.78,162.69,812.0,7,11,-4,-2,-2,-3,5,9,-7
191,-2,0,2,1,0,1,48385,Real,9,0.07,0.66,0.51,24.44,56.54,258.5,24.18,51.34,260.5,24.63,58.11,266.0,-1,-9,1,2,13,2,1,3,3
192,-7,0,7,0,-1,-1,48387,Red River,6,0.05,0.35,0.28,46.12,101.3,534.25,47.25,106.3,494.0,50.2,112.38,524.25,2,5,-8,6,6,6,9,11,-2
193,-10,-8,2,1,-9,-8,48389,Reeves,-22,-0.25,1.59,2.28,98.1,214.18,1491.5,106.58,225.96,1426.0,107.12,252.18,1409.5,9,5,-4,0,12,-1,9,18,-5
194,-2,0,2,0,0,0,48391,Refugio,-2,-0.05,0.77,0.81,38.11,87.86,423.33,41.23,96.02,415.67,40.91,95.72,419.33,8,9,-2,-1,0,1,7,9,-1
195,-1,-2,2,1,0,-1,48393,Roberts,-3,-0.04,0.42,0.48,22.19,36.1,219.0,22.08,39.69,195.0,23.16,40.7,196.0,0,10,-11,5,3,1,4,13,-11
196,-3,0,2,0,0,0,48395,Robertson,2,0.01,0.49,0.47,53.46,125.63,667.0,56.02,113.06,646.0,57.23,120.05,668.2,5,-10,-3,2,6,3,7,-4,0
197,-3,-1,2,1,-1,0,48397,Rockwall,7,0.06,0.5,0.39,708.58,1367.6,11378.0,756.74,1459.0,11936.5,788.68,1533.15,12777.5,7,7,5,4,5,7,11,12,12
198,-3,0,2,0,-1,1,48399,Runnels,2,0.0,0.48,0.46,45.51,88.84,501.0,46.04,93.98,505.0,46.2,92.97,505.25,1,6,1,0,-1,0,2,5,1
199,-3,0,2,0,-1,0,48401,Rusk,-3,-0.05,0.64,0.67,75.71,151.15,996.38,75.59,158.02,967.0,74.76,161.1,984.62,0,5,-3,-1,2,2,-1,7,-1
200,-2,1,2,0,0,1,48403,Sabine,7,0.03,0.55,0.44,54.13,107.02,634.67,54.56,106.47,605.33,56.97,107.98,610.33,1,-1,-5,4,1,1,5,1,-4
201,-1,0,2,1,1,1,48405,San Augustine,-11,-0.14,0.54,0.71,52.43,108.7,576.0,44.58,101.1,519.0,48.12,108.01,513.5,-15,-7,-10,8,7,-1,-8,-1,-11
202,-3,0,4,1,1,1,48407,San Jacinto,2,-0.01,0.65,0.61,120.35,287.21,1804.0,124.86,290.89,1731.5,116.42,283.53,1752.0,4,1,-4,-7,-3,1,-3,-1,-3
203,-4,0,2,0,-1,0,48409,San Patricio,0,-0.03,0.61,0.6,141.13,294.75,2014.57,140.3,302.48,1968.71,144.26,316.07,1945.14,-1,3,-2,3,4,-1,2,7,-3
204,-8,-4,8,8,-2,2,48411,San Saba,-12,-0.14,0.39,0.57,34.17,61.4,333.0,35.04,62.32,321.67,33.43,61.73,326.67,3,1,-3,-5,-1,2,-2,1,-2
205,-3,-1,3,0,0,-1,48413,Schleicher,-8,-0.1,0.78,0.9,55.12,100.87,515.0,53.81,99.06,521.0,53.0,100.5,499.0,-2,-2,1,-2,1,-4,-4,0,-3
206,-2,2,1,-1,0,1,48415,Scurry,-8,-0.11,0.92,1.09,78.97,147.29,1056.67,82.21,157.81,1049.33,83.31,166.07,1030.67,4,7,-1,1,5,-2,5,13,-2
207,-3,-1,3,1,0,0,48417,Shackelford,-2,-0.04,0.8,0.82,31.15,54.71,303.0,28.24,51.02,310.5,28.16,53.49,312.0,-9,-7,2,0,5,0,-10,-2,3
208,-6,-2,5,3,-2,0,48419,Shelby,4,0.03,0.44,0.38,71.95,135.56,898.67,71.78,139.51,856.33,69.91,138.36,861.33,0,3,-5,-3,-1,1,-3,2,-4
209,-3,-1,4,1,1,0,48421,Sherman,4,0.03,0.31,0.25,34.74,64.5,374.5,34.14,62.52,372.5,32.4,58.9,377.5,-2,-3,-1,-5,-6,1,-7,-9,1
210,-4,0,4,0,-1,1,48423,Smith,3,0.01,0.58,0.55,278.04,561.93,4040.89,289.01,580.53,3982.56,291.93,597.98,4061.44,4,3,-1,1,3,2,5,6,1
211,-8,-6,1,-1,-8,-7,48425,Somervell,2,0.0,0.47,0.44,76.28,147.92,1047.5,81.9,156.02,1064.0,81.79,162.81,1085.5,7,5,2,0,4,2,7,10,4
212,-7,-2,5,2,-3,0,48427,Starr,2,-0.05,0.68,0.64,422.64,1005.72,5548.33,398.91,980.2,5418.0,392.21,1013.05,4951.33,-6,-3,-2,-2,3,-9,-7,1,-11
213,0,0,2,1,2,1,48429,Stephens,4,0.02,0.69,0.63,110.24,227.22,1481.0,99.87,229.69,1402.0,105.73,237.77,1417.0,-9,1,-5,6,4,1,-4,5,-4
214,-1,0,1,0,0,1,48431,Sterling,3,0.01,0.67,0.59,27.04,54.31,327.0,28.99,59.79,338.0,27.99,58.95,337.0,7,10,3,-3,-1,0,4,9,3
215,-2,2,4,1,2,3,48433,Stonewall,2,0.01,0.41,0.41,19.44,39.86,224.0,20.22,39.99,213.0,23.15,43.31,185.0,4,0,-5,14,8,-13,19,9,-17
216,-2,0,0,0,-2,0,48435,Sutton,-18,-0.22,0.83,1.24,70.78,142.79,808.0,68.44,124.31,699.0,66.37,117.2,691.0,-3,-13,-13,-3,-6,-1,-6,-18,-14
217,-3,0,1,-1,-2,-1,48437,Swisher,0,-0.01,0.35,0.32,48.76,94.8,536.33,46.83,94.41,498.67,47.03,98.96,492.33,-4,0,-7,0,5,-1,-4,4,-8
218,-3,1,2,0,-1,1,48439,Tarrant,3,0.01,0.64,0.61,915.26,1732.21,13818.5,932.54,1772.62,13325.73,910.01,1748.33,13337.42,2,2,-4,-2,-1,0,-1,1,-3
219,-3,0,0,-7,-2,-7,48441,Taylor,2,0.0,0.54,0.48,317.24,683.67,4762.0,331.5,718.68,4646.4,327.57,718.86,4667.4,4,5,-2,-1,0,0,3,5,-2
220,0,4,-1,-1,-1,3,48443,Terrell,10,0.1,0.15,0.03,13.02,26.79,121.0,14.0,27.87,121.0,14.63,29.01,133.0,8,4,0,5,4,10,12,8,10
221,-2,1,1,0,-1,1,48445,Terry,-3,-0.06,0.62,0.69,59.74,123.72,784.67,60.94,129.79,723.67,62.96,133.29,731.67,2,5,-8,3,3,1,5,8,-7
222,-11,-8,3,1,-9,-8,48447,Throckmorton,56,0.59,0.17,-0.24,16.0,28.6,145.5,15.86,28.86,150.5,17.48,29.85,158.5,-1,1,3,10,3,5,9,4,9
223,-1,0,1,0,0,0,48449,Titus,6,0.05,0.37,0.32,223.1,469.95,3013.5,231.58,469.84,3003.0,232.26,479.87,2972.0,4,0,0,0,2,-1,4,2,-1
224,-2,1,1,0,-1,1,48451,Tom Green,0,-0.02,0.61,0.63,233.77,467.47,3509.83,238.66,460.68,3357.33,243.29,466.8,3439.67,2,-1,-4,2,1,2,4,0,-2
225,-4,-1,4,1,-1,0,48453,Travis,6,0.04,0.63,0.54,528.52,1021.66,7618.0,537.47,1044.51,7427.52,524.87,1027.43,7465.0,2,2,-3,-2,-2,1,-1,1,-2
226,-2,1,-2,-3,-4,-3,48455,Trinity,2,-0.0,0.58,0.52,58.3,115.55,709.67,60.43,121.97,709.67,58.18,118.61,702.0,4,6,0,-4,-3,-1,0,3,-1
227,-1,2,1,0,1,1,48457,Tyler,5,0.02,0.56,0.49,58.01,120.29,722.6,62.74,130.81,701.6,60.82,127.65,712.6,8,9,-3,-3,-2,2,5,6,-1
228,-2,0,2,1,0,1,48459,Upshur,-1,-0.04,0.67,0.7,83.41,170.75,1067.29,89.36,177.65,1044.14,91.45,180.27,1062.71,7,4,-2,2,1,2,10,6,0
229,-2,1,2,0,0,0,48461,Upton,8,0.05,0.88,0.73,39.64,80.76,435.0,42.07,89.36,391.5,41.36,86.5,417.5,6,11,-10,-2,-3,7,4,7,-4
230,-4,0,3,0,-2,0,48463,Uvalde,-1,-0.03,0.45,0.45,93.47,225.98,1356.0,92.33,229.73,1309.5,96.26,230.98,1285.0,-1,2,-3,4,1,-2,3,2,-5
231,-5,0,4,0,-1,0,48465,Val Verde,-2,-0.05,0.74,0.79,324.58,738.76,5318.0,316.29,740.38,5052.5,308.4,753.82,5055.0,-3,0,-5,-2,2,0,-5,2,-5
232,-3,0,2,0,-1,0,48467,Van Zandt,4,0.02,0.5,0.42,89.97,178.29,1283.0,91.5,181.73,1247.62,94.44,189.89,1313.75,2,2,-3,3,4,5,5,7,2
233,-2,2,4,0,2,2,48469,Victoria,-3,-0.06,0.79,0.83,351.36,770.58,5046.67,337.75,741.95,4835.67,313.39,704.23,4754.67,-4,-4,-4,-7,-5,-2,-11,-9,-6
234,-3,0,2,0,-1,1,48471,Walker,1,-0.02,0.6,0.62,241.68,505.98,4979.0,244.49,532.19,5948.0,247.44,527.6,8144.0,1,5,19,1,-1,37,2,4,64
235,-4,-1,2,1,-2,0,48473,Waller,4,0.01,0.76,0.68,253.79,529.82,3786.33,279.87,578.41,3916.33,269.05,567.27,4182.33,10,9,3,-4,-2,7,6,7,10
236,0,1,0,-1,0,1,48475,Ward,-19,-0.23,1.43,2.0,75.26,172.86,1296.0,83.11,191.94,1134.5,84.76,193.32,1155.0,10,11,-12,2,1,2,13,12,-11
237,0,1,1,0,1,1,48477,Washington,1,-0.01,0.56,0.53,202.6,384.0,2749.5,211.44,394.74,2712.5,212.22,381.68,2702.0,4,3,-1,0,-3,0,5,-1,-2
238,-7,-2,5,2,-2,0,48479,Webb,-1,-0.03,0.69,0.7,1352.4,3383.53,22425.67,1369.92,3364.08,21404.0,1342.61,3333.16,19779.0,1,-1,-5,-2,-1,-8,-1,-1,-12
239,-1,0,1,-1,-1,0,48481,Wharton,-1,-0.04,0.66,0.68,115.65,235.1,1663.8,116.84,241.6,1593.8,113.2,240.06,1603.2,1,3,-4,-3,-1,1,-2,2,-4
240,4,0,2,0,5,-1,48483,Wheeler,-8,-0.11,0.93,1.07,28.7,54.97,265.25,28.0,54.13,271.75,29.14,58.62,271.5,-2,-2,2,4,8,0,2,7,2
241,-2,0,1,0,-1,-1,48485,Wichita,0,-0.02,0.66,0.66,301.74,560.71,4144.0,312.26,591.48,4032.2,310.24,588.7,4039.0,3,5,-3,-1,0,0,3,5,-3
242,-2,0,1,0,0,0,48487,Wilbarger,0,-0.03,0.85,0.83,77.78,153.45,1045.5,79.35,169.04,1003.0,75.47,168.66,988.0,2,10,-4,-5,0,-1,-3,10,-5
243,-5,-1,0,1,-5,0,48489,Willacy,8,0.05,0.37,0.27,78.83,187.54,1041.25,76.56,183.2,1018.5,78.67,185.73,984.75,-3,-2,-2,3,1,-3,0,-1,-5
244,-3,1,2,0,-1,1,48491,Williamson,8,0.07,0.53,0.43,606.13,1144.68,8957.14,655.58,1223.55,9007.64,662.72,1232.29,9280.29,8,7,1,1,1,3,9,8,4
245,-3,0,1,0,-1,0,48493,Wilson,2,-0.0,0.57,0.57,151.96,311.26,2282.5,152.46,308.82,2210.25,152.93,308.54,2277.0,0,-1,-3,0,0,3,1,-1,0
246,2,1,2,0,3,1,48495,Winkler,-7,-0.12,1.5,1.66,61.18,132.86,969.5,70.06,148.9,839.0,68.62,146.3,839.0,15,12,-13,-2,-2,0,12,10,-13
247,-3,0,1,0,-2,0,48497,Wise,3,0.02,0.55,0.53,100.95,190.45,1381.86,103.63,198.55,1372.0,105.73,203.36,1415.71,3,4,-1,2,2,3,5,7,2
248,-2,0,1,0,-1,0,48499,Wood,3,0.01,0.48,0.44,82.95,162.94,1042.17,87.46,170.28,1012.83,90.0,177.33,1054.0,5,5,-3,3,4,4,9,9,1
249,-2,0,3,1,0,1,48501,Yoakum,-11,-0.16,1.4,1.69,79.56,159.07,1091.0,81.32,167.53,1034.5,83.14,175.32,1006.5,2,5,-5,2,5,-3,5,10,-8
250,-1,1,1,-1,0,0,48503,Young,2,0.0,0.55,0.5,86.54,169.87,1086.33,88.0,171.08,1065.33,88.82,174.04,1069.0,2,1,-2,1,2,0,3,2,-2
251,-6,-2,4,1,-2,-1,48505,Zapata,-11,-0.17,1.14,1.42,226.78,490.74,3522.0,227.95,519.55,3486.0,228.87,522.21,3287.0,1,6,-1,0,1,-6,1,6,-7
252,-6,-2,5,2,-1,0,48507,Zavala,-1,-0.06,0.48,0.49,81.52,208.58,1219.5,79.53,198.08,1182.5,80.34,200.74,1135.0,-2,-5,-3,1,1,-4,-1,-4,-7
